id,lat_c,lon_c,area_aq
5,38.65497322,141.4658961,127.4110713
5,38.65502922,141.4661059,283.0258104
5,38.65508402,141.4663577,128.0114028
5,38.65511412,141.4665381,130.5508172
5,38.65514298,141.4667658,280.7302135
5,38.6545525,141.4660483,128.4143731
5,38.6546348,141.4662787,296.508478
5,38.6546783,141.4665032,128.0222976
5,38.65471045,141.4666893,126.0476607
5,38.65474255,141.4669248,275.7240576
5,38.65512882,141.4686238,295.0256604
5,38.65520122,141.4691915,296.8778303
5,38.65468117,141.4686296,292.0147023
5,38.65471929,141.4692148,288.553967
5,38.65564462,141.4707681,291.0542028
5,38.65566769,141.4713101,291.685184
5,38.65520565,141.4712953,303.1069809
5,38.65516489,141.4707598,289.3258254
5,38.65590471,141.4729852,290.2797411
5,38.65589411,141.4735852,294.5546202
5,38.65537045,141.4730049,307.6051461
5,38.65542803,141.4736009,292.3580191
5,38.65597508,141.4750422,287.5721914
5,38.65602475,141.4755936,292.1521679
5,38.65551865,141.4750083,282.0167064
5,38.65555531,141.4755617,288.7138289
5,38.65615088,141.4770421,285.1492164
5,38.65619063,141.4775564,271.5104566
5,38.65562773,141.477059,288.9375381
5,38.65563122,141.4776263,298.4643064
5,38.65671993,141.4789687,279.5491777
5,38.65675759,141.4795566,285.4726614
5,38.65618427,141.4789942,286.6555396
5,38.65623002,141.4796014,289.7088102
5,38.68265235,141.5030402,291.0089678
5,38.68313673,141.5039286,275.2164678
5,38.68332169,141.5043316,276.4774101
5,38.68469289,141.5018386,62.83548511
5,38.68474664,141.5023048,172.5532896
5,38.68492022,141.5026583,63.24226058
5,38.68499984,141.503158,131.7749376
5,38.6851489,141.5035792,65.68385276
5,38.68493296,141.5036738,54.94019008
5,38.684723,141.5037531,77.4862432
5,38.68458857,141.5033541,152.8565246
5,38.6846596,141.5028075,166.3676374
5,38.6845216,141.5024094,67.80063323
5,38.68425476,141.5020093,174.589292
5,38.68429218,141.5025102,152.6129652
5,38.68435565,141.5029617,184.1935249
5,38.67504182,141.5003634,287.0301265
5,38.6755137,141.5004509,287.3538827
5,38.67594419,141.5005774,274.3277278
5,38.67586945,141.5011417,284.2591985
5,38.67543019,141.5010546,294.2735364
5,38.67487679,141.5009476,285.5655307
5,38.67572187,141.5027049,282.876011
5,38.67559011,141.5032937,274.410604
5,38.67531791,141.5026649,296.227765
5,38.67518081,141.5031593,291.7511474
5,38.67478359,141.5025161,289.6361959
5,38.67467947,141.502961,284.1011368
5,38.68356128,141.5024319,47.37153386
5,38.68371918,141.5031526,36.87158472
5,38.6838979,141.5038134,65.68498713
5,38.67455081,141.4998042,178.7641419
5,38.67442111,141.5004103,194.5569623
5,38.67415348,141.4997023,196.6741739
5,38.67411081,141.5000545,65.36815959
5,38.67399637,141.5003699,170.7878105
